City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
209,Kampong Chhnang,KH,12.17,104.55,79.03,80,79,5.88,broken clouds,2020-08-23 16:23:28
210,Vostok,RU,46.49,135.88,54.12,90,100,3.71,overcast clouds,2020-08-23 16:23:28
211,Schwabmunchen,DE,48.18,10.75,72.0,64,40,6.93,scattered clouds,2020-08-23 16:23:28
212,Lodja,CD,-3.48,23.43,74.37,89,100,0.54,light rain,2020-08-23 16:22:01
213,Erechim,BR,-27.63,-52.27,60.28,64,0,8.01,clear sky,2020-08-23 16:20:14
214,Castro,BR,-24.79,-50.01,57.22,70,40,11.65,scattered clouds,2020-08-23 16:19:08
215,Graaff-Reinet,ZA,-32.25,24.53,75.99,11,0,1.99,clear sky,2020-08-23 16:23:29
216,Eregli,TR,37.51,34.05,76.08,27,0,7.85,clear sky,2020-08-23 16:23:29
217,Cocobeach,GA,1.0,9.58,82.4,74,40,10.29,scattered clouds,2020-08-23 16:23:29
218,Chokurdakh,RU,70.63,147.92,30.2,99,95,7.16,overcast clouds,2020-08-23 16:16:57
219,Mandalgovi,MN,45.76,106.27,60.46,59,26,16.55,scattered clouds,2020-08-23 16:18:17
220,San Quintin,MX,30.48,-115.95,75.6,71,0,3.11,clear sky,2020-08-23 16:21:03
221,Cabo San Lucas,MX,22.89,-109.91,91.4,41,40,4.7,scattered clouds,2020-08-23 16:19:52
222,Codrington,AU,-38.27,141.97,42.22,82,56,8.05,broken clouds,2020-08-23 16:17:07
223,Masterton,NZ,-40.96,175.66,50.0,94,99,3.0,moderate rain,2020-08-23 16:23:30
224,Hamilton,US,39.18,-84.53,81.0,69,40,4.45,scattered clouds,2020-08-23 16:19:14
225,Shangzhi,CN,45.22,127.97,63.97,90,84,1.88,broken clouds,2020-08-23 16:23:30
226,North Platte,US,41.12,-100.77,84.99,57,1,4.7,clear sky,2020-08-23 16:21:40
227,Lasa,IT,46.62,10.7,66.0,63,75,6.93,broken clouds,2020-08-23 16:20:57
228,Pevek,RU,69.7,170.31,37.36,96,100,4.65,overcast clouds,2020-08-23 16:20:40
229,Boshnyakovo,RU,49.63,142.17,57.58,92,72,1.86,broken clouds,2020-08-23 16:23:31
230,Noumea,NC,-22.28,166.46,73.0,94,90,2.24,overcast clouds,2020-08-23 16:18:13
231,Eschwege,DE,51.18,10.07,70.0,62,10,1.99,clear sky,2020-08-23 16:23:31
232,Krasnoselkup,RU,65.7,82.47,51.17,93,66,4.63,broken clouds,2020-08-23 16:23:31
233,Wabag,PG,-5.48,143.7,51.51,93,84,2.42,broken clouds,2020-08-23 16:23:31
234,Lichinga,MZ,-13.31,35.24,62.44,64,100,5.55,overcast clouds,2020-08-23 16:21:27
235,Pacific Grove,US,36.62,-121.92,64.4,72,40,3.36,haze,2020-08-23 16:19:30
236,Hue,VN,16.47,107.6,80.6,88,40,2.24,scattered clouds,2020-08-23 16:21:40
237,Outlook,CA,51.5,-107.05,68.0,47,53,3.0,broken clouds,2020-08-23 16:23:32
238,Torbay,CA,47.67,-52.73,70.0,45,20,10.29,few clouds,2020-08-23 16:21:18
239,Iralaya,HN,15.0,-83.23,89.6,70,40,4.7,scattered clouds,2020-08-23 16:23:32
240,Itarema,BR,-2.92,-39.92,85.71,55,3,20.11,clear sky,2020-08-23 16:21:28
241,Qaqortoq,GL,60.72,-46.03,55.4,62,0,9.17,clear sky,2020-08-23 16:21:59
242,Chapleau,CA,47.84,-83.4,66.2,93,90,5.82,overcast clouds,2020-08-23 16:23:32
243,Lebu,CL,-37.62,-73.65,51.35,91,100,19.37,light rain,2020-08-23 16:20:54
244,Booue,GA,-0.09,11.94,86.0,53,96,5.86,light rain,2020-08-23 16:23:33
245,Sao Filipe,CV,14.9,-24.5,79.95,77,95,7.29,overcast clouds,2020-08-23 16:22:04
246,Ponta Do Sol,PT,32.67,-17.1,84.2,30,20,18.34,few clouds,2020-08-23 16:20:43
247,Maragogi,BR,-9.01,-35.22,79.02,69,23,11.9,few clouds,2020-08-23 16:23:33
248,Fort-Shevchenko,KZ,44.51,50.26,71.98,54,100,18.14,overcast clouds,2020-08-23 16:23:33
249,Aykhal,RU,66.0,111.5,51.8,57,0,6.71,clear sky,2020-08-23 16:21:27
250,Cortez,US,37.35,-108.59,75.2,31,1,4.7,clear sky,2020-08-23 16:23:33
251,Araouane,ML,18.9,-3.53,101.89,26,0,9.55,clear sky,2020-08-23 16:21:38
252,Astoria,US,46.19,-123.83,61.0,87,1,2.95,clear sky,2020-08-23 16:23:34
